"","code","number","title","units","time","description","effective","GE"
"1","AAS","010","African-American Culture and Society ","4"," Discussion—1 hour; Lecture—3 hours","Critical examination of the historical, political, social, and economic factors that have affected the development and status of African-American people in contemporary society. "," 2012 Winter Quarter."," ACGH, DD, SS, WE. "
"2","AAS","012","Introduction to African Studies ","4"," Discussion—1 hour; Lecture—3 hours","Introduction to African Studies which will focus on the various disciplinary perspectives through which African society and culture are generally studied. A survey of methods, resources and conceptual tools for the study of Africa. "," 2017 Fall Quarter."," AH, SS, WC, WE. "
"3","AAS","015","Introduction to African American Humanities ","4"," Discussion—1 hour; Lecture—3 hours","Class size limited to 165 students. Introduction to the humanist tradition developed by writers, philosophers, and artists of African descent in the West. Attention also given to African sources, as well as European, Caribbean, Latin-American, and North American variations on this tradition. "," 2012 Winter Quarter."," ACGH, AH, DD. "
"4","AAS","016","Verbal and Performance Arts in Africa ","4"," Lecture/Discussion—4 hours","African verbal arts; oral texts from different African cultures. Types of critical response to oral texts, role of oral artists, context and esthetics of oral performance in Africa. "," 2012 Winter Quarter."," AH, VL, WC. "
"5","AAS","017","Women in African Societies ","4"," Lecture/Discussion—4 hours","Gender relations in traditional and contemporary African society. Involvement of African women in politics, religion, the economy, the arts. African responses to feminist theory. Images of women in African literature. "," 2012"," SS, WC, WE. "
"6","AAS","018","Introduction to Caribbean Studies ","4"," Discussion—1 hour; Lecture—3 hours","Introduction to the contemporary culture, peoples, politics, and societies of the Caribbean. Topics include movements of people, goods and ideas across the Atlantic world and creative productions within the Caribbean. ",""," AH, SS, WC. "
"7","AAS","050","Black Popular Culture ","4"," Discussion—1 hour; Lecture—3 hours; Term Paper","Survey of the African American images in popular culture (film, television, comedy, sports and music). "," 2012 Winter Quarter."," ACGH, AH, DD, VL, WE. "
"8","AAS","051","History of Afro American Dance ","4"," Lecture—4 hours","Evolution of African-American dance, tracing its history and development from West and Central Africa to the United States. Investigates the social and cultural relevance of African American dance and its artistic merits through contributions from its choreographers and performers. "," 2012 Spring Quarter."," AH, DD, VL. "
"9","AAS","052","African Traditional Religion ","4"," Discussion—2 hours; Lecture—2 hours","Introduction to traditional religions of the sub-Saharan African peoples: emphasis on myths, rituals and symbols in West, East, Central and South African indigenous religions. Examines themes: sacred kingship, divination system, women, prophecy, conversion and adaptation to Islam and Christianity. "," 2012 Winter"," AH, WC. "
"10","AAS","080","Introduction to Black Politics ","4"," Lecture—4 hours","Introduction to the analysis of Afro-American politics, using conceptual frameworks from political science and other social sciences. "," 1997 Winter Quarter.",NA
"11","AAS","099","Special Study for Undergraduates ","1-5"," Variable","Prerequisite(s): Consent of Instructor. (P/NP grading only.) "," 1997 Winter",NA
"12","AAS","100","Survey of Ethnicity in the US ","4"," Discussion—1 hour; Lecture—3 hours","Prerequisite(s): Upper division standing or consent of instructor. Limited enrollment. Sociological and historical analysis of the experience, culture, and relations of and between groups considered racial and/or ethnic minorities in the United States. "," 2012 Winter Quarter."," ACGH, AH, DD. "
"13","AAS","101","Introduction to Research in the Afro-American Community ","4"," Lecture—4 hours","Prerequisite(s): AAS 010; or Consent of Instructor. Introductory survey of AfroAmerican Studies methods and techniques; problems and methodology in Afro-American Studies. "," 1997 Winter Quarter.",NA
"14","AAS","107B","African Descent Communities and Culture in North America ","4"," Lecture/Discussion—4 hours","Prerequisite(s): Upper division standing. Study of the origin and development of African descent communities and cultures in the U.S.A., Canada, and Mexico. "," 2017 Winter Quarter."," AH, DD, SS. "
"15","AAS","107C","African Descent Communities and Culture in Asia ","4"," Lecture/Discussion—4 hours","Study of the origin and development of African Descent communities and cultures in Asia. "," 2015 Winter Quarter."," AH, SS, WC. "
"16","AAS","107D","African Descent Communities and Cultures in Europe ","4"," Lecture/Discussion—4 hours","Study of the origin and development of African Descent communities and cultures in Europe. "," 2015 Spring Quarter."," AH, SS, WC. "
